iter	Passed	Remaining
143	620	3688
144	622	3668
145	624	3649
146	631	3664
147	633	3646
148	635	3626
149	637	3614
150	639	3595
151	641	3576
152	643	3560
153	645	3546
154	647	3531
155	649	3515
156	651	3499
157	653	3481
158	654	3463
159	657	3451
160	660	3440
161	663	3432
162	671	3446
163	674	3438
164	677	3427
165	679	3415
166	682	3401
167	684	3388
168	686	3377
169	690	3370
170	692	3358
171	695	3346
172	700	3349
173	702	3336
174	704	3322
175	706	3308
176	708	3293
177	709	3278
178	711	3263
179	712	3247
180	718	3251
181	720	3239
182	723	3231
183	726	3219
184	731	3223
185	733	3209
186	734	3195
187	736	3181
188	738	3167
189	739	3152
190	741	3141
191	749	3153
192	751	3143
193	753	3131
194	755	3119
195	758	3113
196	762	3107
197	764	3095
198	765	3082
199	767	3069
200	769	3058
201	771	3046
202	778	3057
203	780	3046
204	782	3035
205	785	3027
206	792	3035
207	794	3026
208	796	3015
209	798	3005
210	801	2995
211	806	2999
212	809	2989
213	811	2978
214	813	2968
215	815	2961
216	820	2961
217	824	2956
218	826	2947
219	828	2936
220	830	2926
221	835	2929
222	838	2920
223	839	2909
224	841	2899
225	843	2890
226	846	2882
227	852	2885
228	854	2875
229	855	2864
230	857	2856
231	859	2846
232	861	2837
233	869	2846
234	872	2839
235	874	2829
236	875	2819
237	880	2819
238	882	2809
239	884	2799
240	885	2789
241	887	2779
242	889	2770
243	890	2760
244	896	2763
245	898	2755
246	902	2750
247	905	2744
248	912	2753
249	916	2750
250	918	2741
251	920	2732
252	922	2723
253	930	2731
254	932	2723
255	933	2713
256	941	2720
257	943	2712
258	945	2704
259	948	2699
260	950	2692
261	955	2692
262	958	2685
263	960	2679
264	963	2671
265	969	2675
266	971	2667
267	973	2658
268	975	2650
269	976	2641
270	979	2634
271	986	2639
272	988	2632
273	990	2623
274	991	2614
275	994	2608
276	1000	2610
277	1002	2603
278	1004	2595
279	1005	2586
280	1007	2578
281	1009	2570
282	1016	2574
283	1017	2566
284	1020	2559
285	1023	2555
286	1025	2546
287	1030	2547
288	1032	2540
289	1034	2531
290	1035	2524
291	1039	2520
292	1043	2518
293	1048	2518
294	1051	2511
295	1054	2508
296	1059	2508
297	1062	2502
298	1064	2494
299	1065	2486
300	1067	2478
301	1068	2470
302	1070	2462
303	1077	2467
304	1079	2460
305	1082	2455
306	1084	2449
307	1086	2441
308	1091	2440
309	1093	2433
310	1095	2425
311	1096	2418
312	1098	2410
313	1100	2403
314	1102	2396
315	1110	2403
316	1112	2396
317	1113	2389
318	1116	2383
319	1121	2383
320	1123	2375
321	1124	2368
322	1126	2360
323	1127	2353
324	1131	2350
325	1138	2352
326	1139	2346
327	1141	2339
328	1143	2332
329	1145	2325
330	1147	2318
331	1152	2319
332	1155	2313
333	1158	2309
334	1159	2302
335	1161	2295
336	1163	2288
337	1169	2290
338	1175	2291
339	1177	2285
340	1179	2278
341	1182	2276
342	1185	2270
343	1187	2265
344	1196	2270
345	1198	2264
346	1200	2259
347	1202	2252
348	1203	2245
349	1205	2238
350	1210	2238
351	1212	2231
352	1213	2224
353	1216	2219
354	1218	2214
355	1220	2208
356	1227	2210
357	1229	2204
358	1231	2198
359	1233	2192
360	1240	2196
361	1242	2190
362	1244	2183
363	1245	2176
364	1247	2170
365	1249	2163
366	1250	2157
367	1257	2159
368	1259	2153
369	1261	2147
370	1265	2145
371	1269	2143
372	1271	2137
373	1273	2131
374	1275	2125
375	1277	2119
376	1278	2113
377	1280	2106
378	1284	2104
379	1289	2104
380	1293	2101
381	1295	2095
382	1300	2095
383	1302	2090
384	1306	2087
385	1308	2081
386	1310	2076
387	1317	2078
388	1319	2072
389	1321	2067
390	1323	2061
391	1325	2055
392	1332	2058
393	1334	2052
394	1336	2046
395	1337	2040
396	1339	2034
397	1341	2028
398	1347	2029
399	1349	2024
400	1351	2019
401	1355	2016
402	1356	2010
403	1361	2008
404	1363	2003
405	1365	1998
406	1368	1993
407	1370	1988
408	1372	1982
409	1378	1984
410	1381	1979
411	1382	1973
412	1384	1968
413	1386	1962
414	1391	1961
415	1393	1956
416	1395	1951
417	1397	1945
418	1399	1940
419	1401	1935
420	1405	1933
421	1408	1928
422	1412	1927
423	1414	1921
424	1417	1918
425	1422	1916
426	1424	1911
427	1426	1906
428	1428	1900
429	1430	1895
430	1434	1894
431	1438	1891
432	1443	1890
